重庆电信-组播1,#genre#
IPTV相声小品,http://106.83.119.152:8188/rtp/235.254.198.118:1748
IPTV10野外,http://106.83.119.152:8188/rtp/235.254.198.119:1752
IPTV11戏曲,http://106.83.119.152:8188/rtp/235.254.198.85:1616
IPTV12法治,http://106.83.119.152:8188/rtp/235.254.198.120:1756
IPTV14早教,http://106.83.119.152:8188/rtp/235.254.198.86:1620
IPTV15音乐,http://106.83.119.152:8188/rtp/235.254.198.77:1584
IPTV地理,http://106.83.119.152:8188/rtp/235.254.198.78:1588
IPTV美妆,http://106.83.119.152:8188/rtp/235.254.198.79:1592
IPTV美人,http://106.83.119.152:8188/rtp/235.254.198.80:1596
IPTV解密,http://106.83.119.152:8188/rtp/235.254.198.82:1604
IPTV7军事,http://106.83.119.152:8188/rtp/235.254.198.83:1608
IPTV国学,http://106.83.119.152:8188/rtp/235.254.198.84:1612
IPTV好学生,http://106.83.119.152:8188/rtp/235.254.198.88:1628
IPTV鉴赏,http://106.83.119.152:8188/rtp/235.254.198.89:1632
IPTV墨宝,http://106.83.119.152:8188/rtp/235.254.198.90:1636
IPTV爱生活,http://106.83.119.152:8188/rtp/235.254.198.93:1648
IPTV武术,http://106.83.119.152:8188/rtp/235.254.198.94:1652
IPTV足球,http://106.83.119.152:8188/rtp/235.254.198.96:1660
百视通精彩导视,http://106.83.119.152:8188/rtp/235.254.196.101:1162
重庆电信-组播2,#genre#
重庆电信-组播3,#genre#
