内蒙古电信-组播1,#genre#
山东教育卫视,http://111.127.156.214:51234/rtp/239.29.1.96:5001
北京纪实科教,http://111.127.156.214:51234/rtp/239.29.0.110:5000
北京卡酷少儿,http://111.127.156.214:51234/rtp/239.29.1.41:5001
金鹰纪实,http://111.127.156.214:51234/rtp/239.29.0.92:5000
金鹰卡通,http://111.127.156.214:51234/rtp/239.29.1.85:5001
嘉佳卡通,http://111.127.156.214:51234/rtp/239.29.0.126:5000
优漫卡通,http://111.127.156.214:51234/rtp/239.29.0.127:5000
哈哈炫动,http://111.127.156.214:51234/rtp/239.29.0.128:5000
呼市新闻综合,http://111.127.156.214:51234/rtp/239.29.0.35:5000
呼市影视娱乐,http://111.127.156.214:51234/rtp/239.29.0.37:5000
包头经济频道,http://111.127.156.214:51234/rtp/239.29.0.204:5000
包头生活服务,http://111.127.156.214:51234/rtp/239.29.0.112:5000
包头新闻综合,http://111.127.156.214:51234/rtp/239.29.0.111:5000
乌海新闻综合,http://111.127.156.214:51234/rtp/239.29.0.11:5000
乌海都市生活,http://111.127.156.214:51234/rtp/239.29.0.12:5000
赤峰新闻综合,http://111.127.156.214:51234/rtp/239.29.0.13:5000
赤峰经济服务,http://111.127.156.214:51234/rtp/239.29.0.14:5000
赤峰影视娱乐,http://111.127.156.214:51234/rtp/239.29.0.15:5000
通辽城市服务,http://111.127.156.214:51234/rtp/239.29.0.42:5000
通辽新闻综合,http://111.127.156.214:51234/rtp/239.29.0.41:5000
通辽蒙语频道,http://111.127.156.214:51234/rtp/239.29.0.40:5000
呼伦贝尔新闻综合,http://111.127.156.214:51234/rtp/239.29.0.19:5000
呼伦贝尔文化旅游,http://111.127.156.214:51234/rtp/239.29.0.20:5000
呼伦贝尔生活资讯,http://111.127.156.214:51234/rtp/239.29.0.21:5000
巴彦淖尔新闻综合,http://111.127.156.214:51234/rtp/239.29.0.25:5000
巴彦淖尔经济生活,http://111.127.156.214:51234/rtp/239.29.0.26:5000
巴彦淖尔影视娱乐,http://111.127.156.214:51234/rtp/239.29.0.27:5000
鄂尔多斯新闻综合,http://111.127.156.214:51234/rtp/239.29.0.30:5000
鄂尔多斯经济服务,http://111.127.156.214:51234/rtp/239.29.0.31:5000
鄂尔多斯蒙语频道,http://111.127.156.214:51234/rtp/239.29.0.33:5000
锡林郭勒1,http://111.127.156.214:51234/rtp/239.29.0.38:5000
锡林郭勒2,http://111.127.156.214:51234/rtp/239.29.0.39:5000
杭后电视台,http://111.127.156.214:51234/rtp/239.29.0.149:5000
达茂电视台,http://111.127.156.214:51234/rtp/239.29.1.101:5000
库伦电视台,http://111.127.156.214:51234/rtp/239.29.1.100:5000
丰镇电视台,http://111.127.156.214:51234/rtp/239.29.1.103:5000
突泉电视台,http://111.127.156.214:51234/rtp/239.29.0.174:5000
阿尔山电视台,http://111.127.156.214:51234/rtp/239.29.1.112:5000
托克托电视台,http://111.127.156.214:51234/rtp/239.29.0.146:5000
额济纳新闻综合,http://111.127.156.214:51234/rtp/239.29.0.177:5000
西乌电视台,http://111.127.156.214:51234/rtp/239.29.0.181:5000
准格尔综合频道,http://111.127.156.214:51234/rtp/239.29.0.192:5000
伊金霍洛旗综合,http://111.127.156.214:51234/rtp/239.29.1.105:5000
苏尼特左旗,http://111.127.156.214:51234/rtp/239.29.0.190:5000
