湖北电信,#genre#
湖北公共新闻,http://59.172.86.59:8686/rtp/239.69.1.40:9880
湖北经视,http://59.172.86.59:8686/rtp/239.69.1.41:9886
湖北综合,http://59.172.86.59:8686/rtp/239.69.1.42:9892
湖北垄上,http://59.172.86.59:8686/rtp/239.69.1.43:9898
湖北影视,http://59.172.86.59:8686/rtp/239.69.1.204:10866
湖北生活,http://59.172.86.59:8686/rtp/239.69.1.205:10872
湖北教育,http://59.172.86.59:8686/rtp/239.69.1.206:10878
CCTV1,http://59.172.86.59:8686/rtp/239.254.96.96:8550
CCTV2,http://59.172.86.59:8686/rtp/239.69.1.102:10250
CCTV3,http://59.172.86.59:8686/rtp/239.69.1.122:10370
CCTV4,http://59.172.86.59:8686/rtp/239.69.1.138:10466
CCTV5,http://59.172.86.59:8686/rtp/239.69.1.123:10376
CCTV5+,http://59.172.86.59:8686/rtp/239.254.96.234:9484
CCTV6,http://59.172.86.59:8686/rtp/239.69.1.124:10382
CCTV7,http://59.172.86.59:8686/rtp/239.69.1.103:10256
CCTV8,http://59.172.86.59:8686/rtp/239.69.1.125:10388
CCTV9,http://59.172.86.59:8686/rtp/239.69.1.104:10262
CCTV10,http://59.172.86.59:8686/rtp/239.69.1.105:10268
CCTV11,http://59.172.86.59:8686/rtp/239.69.1.154:10560
CCTV12,http://59.172.86.59:8686/rtp/239.69.1.106:10274
CCTV13,http://59.172.86.59:8686/rtp/239.254.96.161:9040
CCTV14,http://59.172.86.59:8686/rtp/239.69.1.107:10280
CCTV15,http://59.172.86.59:8686/rtp/239.69.1.155:10566
CCTV16,http://59.172.86.59:8686/rtp/239.69.1.247:11124
CCTV17,http://59.172.86.59:8686/rtp/239.69.1.152:10548
CCTV5+,http://59.172.86.59:8686/rtp/239.69.1.12:9712
CCTV16-4K,http://59.172.86.59:8686/rtp/239.69.1.13:9718
CCTV第一剧场,http://59.172.86.59:8686/rtp/239.69.1.74:10084
CCTV兵器科技,http://59.172.86.59:8686/rtp/239.69.1.79:10114
CCTV风云足球,http://59.172.86.59:8686/rtp/239.69.1.81:10126
CCTV高尔夫网球,http://59.172.86.59:8686/rtp/239.69.1.83:10138
CCTV世界地理,http://59.172.86.59:8686/rtp/239.69.1.91:10186
CCTV央视台球,http://59.172.86.59:8686/rtp/239.69.1.98:10224
中文国际欧洲,http://59.172.86.59:8686/rtp/239.69.1.231:11028
中文国际美洲,http://59.172.86.59:8686/rtp/239.69.1.232:11034
CCTV16-4K,http://59.172.86.59:8686/rtp/239.69.1.249:11136
湖北卫视,http://59.172.86.59:8686/rtp/239.254.96.115:8664
河北卫视,http://59.172.86.59:8686/rtp/239.254.96.113:9616
深圳卫视,http://59.172.86.59:8686/rtp/239.254.96.137:8896
