天津联通-组播1,#genre#
江西卫视,http://111.162.204.145:8686/rtp/225.1.2.29:5002
辽宁卫视,http://111.162.204.145:8686/rtp/225.1.1.154:5002
深圳卫视,http://111.162.204.145:8686/rtp/225.1.1.117:5002
贵州卫视,http://111.162.204.145:8686/rtp/225.1.2.28:5002
海南卫视,http://111.162.204.145:8686/rtp/225.1.2.82:5002
河北卫视,http://111.162.204.145:8686/rtp/225.1.2.27:5002
河南卫视,http://111.162.204.145:8686/rtp/225.1.2.61:5002
黑龙江卫视,http://111.162.204.145:8686/rtp/225.1.1.115:5002
内蒙古卫视,http://111.162.204.145:8686/rtp/225.1.1.32:5002
宁夏卫视,http://111.162.204.145:8686/rtp/225.1.1.56:5002
青海卫视,http://111.162.204.145:8686/rtp/225.1.1.54:5002
山西卫视,http://111.162.204.145:8686/rtp/225.1.1.50:5002
陕西卫视,http://111.162.204.145:8686/rtp/225.1.1.41:5002
甘肃卫视,http://111.162.204.145:8686/rtp/225.1.1.30:5002
云南卫视,http://111.162.204.145:8686/rtp/225.1.1.61:5002
西藏卫视,http://111.162.204.145:8686/rtp/225.1.1.51:5002
新疆卫视,http://111.162.204.145:8686/rtp/225.1.1.35:5002
三沙卫视,http://111.162.204.145:8686/rtp/225.1.2.181:5002
兵团卫视,http://111.162.204.145:8686/rtp/225.1.1.57:5002
山东教育卫视,http://111.162.204.145:8686/rtp/225.1.2.118:5002
金鹰纪实,http://111.162.204.145:8686/rtp/225.1.1.124:5002
金鹰卡通,http://111.162.204.145:8686/rtp/225.1.2.236:5002
茶频道,http://111.162.204.145:8686/rtp/225.1.2.19:5002
精彩影视,http://111.162.204.145:8686/rtp/225.1.1.141:5002
上海动漫秀场,http://111.162.204.145:8686/rtp/225.1.1.134:5002
上海都市剧场,http://111.162.204.145:8686/rtp/225.1.1.146:5002
上海欢笑剧场,http://111.162.204.145:8686/rtp/225.1.1.139:5002
上海法治天地,http://111.162.204.145:8686/rtp/225.1.1.237:5002
上海生活时尚,http://111.162.204.145:8686/rtp/225.1.1.143:5002
上海游戏风云,http://111.162.204.145:8686/rtp/225.1.1.135:5002
上海乐游频道,http://111.162.204.145:8686/rtp/225.1.1.145:5002
上海东方财经,http://111.162.204.145:8686/rtp/225.1.1.247:5002
上海金色学堂,http://111.162.204.145:8686/rtp/225.1.1.236:5002
河南梨园频道,http://111.162.204.145:8686/rtp/225.1.2.104:5002
河南文物宝库,http://111.162.204.145:8686/rtp/225.1.2.105:5002
河南武术世界,http://111.162.204.145:8686/rtp/225.1.2.129:5002
中国交通,http://111.162.204.145:8686/rtp/225.1.2.57:5002
魅力足球,http://111.162.204.145:8686/rtp/225.1.1.137:5002
CETV早期教育,http://111.162.204.145:8686/rtp/225.1.2.207:5002
CGTN英语,http://111.162.204.145:8686/rtp/225.1.1.27:5002
CGTN纪录,http://111.162.204.145:8686/rtp/225.1.1.55:5002
蓟州电视台,http://111.162.204.145:8686/rtp/225.1.1.82:5002
静海电视台,http://111.162.204.145:8686/rtp/225.1.1.110:5002
河东频道,http://111.162.204.145:8686/rtp/225.1.2.2:5002
河西频道,http://111.162.204.145:8686/rtp/225.1.2.4:5002
滨海1,http://111.162.204.145:8686/rtp/225.1.2.7:5002
滨海2,http://111.162.204.145:8686/rtp/225.1.2.8:5002
保定电视台,http://111.162.204.145:8686/rtp/225.1.1.83:5002
大港油田企业,http://111.162.204.145:8686/rtp/225.1.2.14:5002
卡酷少儿,http://111.162.204.145:8686/rtp/225.1.1.58:5002
哈哈炫动,http://111.162.204.145:8686/rtp/225.1.1.62:5002
新动漫,http://111.162.204.145:8686/rtp/225.1.1.216:5002
重庆汽摩,http://111.162.204.145:8686/rtp/225.1.1.205:5002
天津文艺广播,http://111.162.204.145:8686/rtp/225.1.1.171:5002
天津经济广播,http://111.162.204.145:8686/rtp/225.1.1.172:5002
天津新闻广播,http://111.162.204.145:8686/rtp/225.1.1.173:5002
天津生活广播,http://111.162.204.145:8686/rtp/225.1.1.174:5002
天津交通广播,http://111.162.204.145:8686/rtp/225.1.1.175:5002
天津相声广播,http://111.162.204.145:8686/rtp/225.1.1.176:5002
天津小说广播,http://111.162.204.145:8686/rtp/225.1.1.177:5002
天津滨海广播,http://111.162.204.145:8686/rtp/225.1.1.178:5002
天津音乐广播,http://111.162.204.145:8686/rtp/225.1.1.179:5002
天津农村广播,http://111.162.204.145:8686/rtp/225.1.1.180:5002
天津联通-组播2,#genre#
天津联通-组播3,#genre#
