湖南电信-组播1,#genre#
CCTV-怀旧剧场,http://118.251.18.81:8188/udp/239.76.254.53:9000
CCTV-电视指南,http://118.251.18.81:8188/udp/239.76.254.61:9000
CCTV-世界地理,http://118.251.18.81:8188/udp/239.76.254.57:9000
CCTV-兵器科技,http://118.251.18.81:8188/udp/239.76.254.59:9000
CCTV-央视台球,http://118.251.18.81:8188/udp/239.76.254.58:9000
CCTV-文化精品,http://118.251.18.81:8188/udp/239.76.254.56:9000
CCTV-女性时尚,http://118.251.18.81:8188/udp/239.76.254.55:9000
CCTV-风云足球,http://118.251.18.81:8188/udp/239.76.254.52:9000
CCTV-风云音乐,http://118.251.18.81:8188/udp/239.76.254.51:9000
CCTV-高尔夫网球,http://118.251.18.81:8188/udp/239.76.254.62:9000
CCTV-4中文国际 欧洲,http://118.251.18.81:8188/udp/239.76.253.95:9000
CCTV-4中文国际 美洲,http://118.251.18.81:8188/udp/239.76.253.96:9000
凤凰中文,http://118.251.18.81:8188/udp/239.76.253.134:9000
凤凰资讯,http://118.251.18.81:8188/udp/239.76.253.135:9000
北京卫视,http://118.251.18.81:8188/udp/239.76.253.184:9000
北京卫视4K超高清,http://118.251.18.81:8188/udp/239.76.253.246:9000
试播4K超高清,http://118.251.18.81:8188/udp/239.76.253.214:9000
三沙卫视,http://118.251.18.81:8188/udp/239.76.253.74:9000
东方卫视,http://118.251.18.81:8188/udp/239.76.253.186:9000
吉林卫视,http://118.251.18.81:8188/udp/239.76.253.201:9000
四川卫视,http://118.251.18.81:8188/udp/239.76.253.91:9000
天津卫视,http://118.251.18.81:8188/udp/239.76.253.185:9000
山东卫视,http://118.251.18.81:8188/udp/239.76.253.195:9000
江苏卫视,http://118.251.18.81:8188/udp/239.76.253.181:9000
河南卫视,http://118.251.18.81:8188/udp/239.76.253.202:9000
浙江卫视,http://118.251.18.81:8188/udp/239.76.253.182:9000
海南卫视,http://118.251.18.81:8188/udp/239.76.253.203:9000
深圳卫视,http://118.251.18.81:8188/udp/239.76.253.188:9000
湖北卫视,http://118.251.18.81:8188/udp/239.76.253.193:9000
甘肃卫视,http://118.251.18.81:8188/udp/239.76.253.94:9000
重庆卫视,http://118.251.18.81:8188/udp/239.76.253.92:9000
广东卫视,http://118.251.18.81:8188/udp/239.76.252.189:9000
河北卫视,http://118.251.18.81:8188/udp/239.76.252.199:9000
安徽卫视,http://118.251.18.81:8188/udp/239.76.252.196:9000
天津卫视,http://118.251.18.81:8188/udp/239.76.251.92:9000
江苏卫视,http://118.251.18.81:8188/udp/239.76.251.89:9000
江西卫视,http://118.251.18.81:8188/udp/239.76.252.225:9000
东南卫视,http://118.251.18.81:8188/udp/239.76.252.190:9000
辽宁卫视,http://118.251.18.81:8188/udp/239.76.252.197:9000
贵州卫视,http://118.251.18.81:8188/udp/239.76.252.198:9000
黑龙江卫视,http://118.251.18.81:8188/udp/239.76.253.200:9000
云南卫视,http://118.251.18.81:8188/udp/239.76.254.60:9000
广西卫视,http://118.251.18.81:8188/udp/239.76.254.54:9000
陕西卫视,http://118.251.18.81:8188/udp/239.76.254.76:9000
青海卫视,http://118.251.18.81:8188/udp/239.76.254.132:9000
北京KAKU少儿,http://118.251.18.81:8188/udp/239.76.254.81:9000
北京纪实科教,http://118.251.18.81:8188/udp/239.76.254.65:9000
上海欢笑剧场4K,http://118.251.18.81:8188/udp/239.76.254.66:9000
上海东方财经,http://118.251.18.81:8188/udp/239.76.254.69:9000
上海乐游频道,http://118.251.18.81:8188/udp/239.76.254.68:9000
上海动漫秀场,http://118.251.18.81:8188/udp/239.76.254.70:9000
上海法治天地,http://118.251.18.81:8188/udp/239.76.254.67:9000
上海游戏风云,http://118.251.18.81:8188/udp/239.76.254.71:9000
上海生活时尚,http://118.251.18.81:8188/udp/239.76.254.73:9000
上海都市剧场,http://118.251.18.81:8188/udp/239.76.254.74:9000
上海金色学堂,http://118.251.18.81:8188/udp/239.76.254.75:9000
河南梨园频道,http://118.251.18.81:8188/udp/239.76.252.179:9000
河南文物宝库,http://118.251.18.81:8188/udp/239.76.252.180:9000
河南武术世界,http://118.251.18.81:8188/udp/239.76.252.181:9000
CETV-1,http://118.251.18.81:8188/udp/239.76.252.192:9000
CETV-4,http://118.251.18.81:8188/udp/239.76.252.254:9000
CETV早期教育,http://118.251.18.81:8188/udp/239.76.254.202:9000
CGTN英语,http://118.251.18.81:8188/udp/239.76.252.66:9000
CGTN纪录,http://118.251.18.81:8188/udp/239.76.252.67:9000
CGTN俄语,http://118.251.18.81:8188/udp/239.76.253.86:9000
CGTN法语,http://118.251.18.81:8188/udp/239.76.253.87:9000
CGTN西班牙语,http://118.251.18.81:8188/udp/239.76.253.88:9000
CGTN阿拉伯语,http://118.251.18.81:8188/udp/239.76.253.97:9000
魅力足球,http://118.251.18.81:8188/udp/239.76.254.72:9000
中国天气,http://118.251.18.81:8188/udp/239.76.253.61:9000
天元围棋,http://118.251.18.81:8188/udp/239.76.253.2:9000
长沙新闻综合,http://118.251.18.81:8188/udp/239.76.253.121:9000
长沙政法频道,http://118.251.18.81:8188/udp/239.76.253.122:9000
长沙文旅频道,http://118.251.18.81:8188/udp/239.76.255.42:9000
益阳新闻综合,http://118.251.18.81:8188/udp/239.76.255.15:9000
益阳公共频道,http://118.251.18.81:8188/udp/239.76.255.16:9000
岳阳新闻综合,http://118.251.18.81:8188/udp/239.76.255.7:9000
岳阳文旅都市,http://118.251.18.81:8188/udp/239.76.255.8:9000
张家界1新闻综合,http://118.251.18.81:8188/udp/239.76.252.234:9000
张家界2公共频道,http://118.251.18.81:8188/udp/239.76.252.235:9000
湘西新闻综合,http://118.251.18.81:8188/udp/239.76.252.208:9000
湘西文化旅游,http://118.251.18.81:8188/udp/239.76.252.209:9000
株洲新闻综合,http://118.251.18.81:8188/udp/239.76.255.1:9000
永州新闻综合,http://118.251.18.81:8188/udp/239.76.255.23:9000
永州经济生活,http://118.251.18.81:8188/udp/239.76.255.24:9000
湘潭新闻综合,http://118.251.18.81:8188/udp/239.76.255.4:9000
湘潭县电视台,http://118.251.18.81:8188/udp/239.76.255.41:9000
衡阳新闻综合,http://118.251.18.81:8188/udp/239.76.255.13:9000
衡阳文旅法治,http://118.251.18.81:8188/udp/239.76.255.14:9000
衡阳县电视台,http://118.251.18.81:8188/udp/239.76.255.26:9000
邵阳新闻综合,http://118.251.18.81:8188/udp/239.76.255.21:9000
邵阳文旅民生,http://118.251.18.81:8188/udp/239.76.255.22:9000
郴州综合频道,http://118.251.18.81:8188/udp/239.76.253.75:9000
郴州公共频道,http://118.251.18.81:8188/udp/239.76.255.39:9000
怀化新闻综合,http://118.251.18.81:8188/udp/239.76.255.12:9000
常德新闻综合,http://118.251.18.81:8188/udp/239.76.255.10:9000
常德公共频道,http://118.251.18.81:8188/udp/239.76.255.11:9000
娄底综合频道,http://118.251.18.81:8188/udp/239.76.255.18:9000
娄底公共频道,http://118.251.18.81:8188/udp/239.76.255.19:9000
娄底教育频道,http://118.251.18.81:8188/udp/239.76.255.20:9000
东安新闻综合,http://118.251.18.81:8188/udp/239.76.255.32:9000
桃源综合频道,http://118.251.18.81:8188/udp/239.76.255.36:9000
双牌新闻综合,http://118.251.18.81:8188/udp/239.76.255.33:9000
麻阳综合频道,http://118.251.18.81:8188/udp/239.76.255.45:9000
宁远综合频道,http://118.251.18.81:8188/udp/239.76.255.34:9000
汨罗综合频道,http://118.251.18.81:8188/udp/239.76.255.47:9000
新化电视台,http://118.251.18.81:8188/udp/239.76.255.31:9000
津市电视台,http://118.251.18.81:8188/udp/239.76.255.30:9000
武冈综合频道,http://118.251.18.81:8188/udp/239.76.255.29:9000
未知频道,http://118.251.18.81:8188/udp/239.76.255.46:9000
江永新闻频道,http://118.251.18.81:8188/udp/239.76.255.35:9000
洪江新闻频道,http://118.251.18.81:8188/udp/239.76.255.37:9000
涟源综合频道,http://118.251.18.81:8188/udp/239.76.255.48:9000
溆浦综合频道,http://118.251.18.81:8188/udp/239.76.255.25:9000
蓝山综合频道,http://118.251.18.81:8188/udp/239.76.255.38:9000
新田综合频道,http://118.251.18.81:8188/udp/239.76.255.44:9000
道县综合频道,http://118.251.18.81:8188/udp/239.76.255.28:9000
中方台,http://118.251.18.81:8188/udp/239.76.255.43:9000
桂东融媒,http://118.251.18.81:8188/udp/239.76.253.231:9000

湖南卫视,http://118.251.18.81:8188/udp/239.76.246.101:1234
湖南卫视,http://118.251.18.81:8188/udp/239.76.246.100:1234
湖南公共频道,http://118.251.18.81:8188/udp/239.76.246.109:1234
湖南国际频道,http://118.251.18.81:8188/udp/239.76.246.102:1234
湖南娱乐频道,http://118.251.18.81:8188/udp/239.76.246.105:1234
湖南电影频道,http://118.251.18.81:8188/udp/239.76.246.106:1234
湖南电视剧频道,http://118.251.18.81:8188/udp/239.76.246.108:1234
湖南经视频道,http://118.251.18.81:8188/udp/239.76.246.103:1234
湖南都市频道,http://118.251.18.81:8188/udp/239.76.246.104:1234
金鹰卡通,http://118.251.18.81:8188/udp/239.76.246.107:1234
金鹰纪实,http://118.251.18.81:8188/udp/239.76.246.110:1234
湖南教育台,http://118.251.18.81:8188/udp/239.76.245.233:1234
快乐垂钓,http://118.251.18.81:8188/udp/239.76.246.5:1234
茶频道,http://118.251.18.81:8188/udp/239.76.245.239:1234
湖南卫视FHD,http://118.251.18.81:8188/udp/239.76.245.115:1234
湖南电影FHD,http://118.251.18.81:8188/udp/239.76.245.119:1234
湖南电视剧FHD,http://118.251.18.81:8188/udp/239.76.245.118:1234
湖南经视FHD,http://118.251.18.81:8188/udp/239.76.245.116:1234
湖南都市FHD,http://118.251.18.81:8188/udp/239.76.245.117:1234
湖南公共FHD,http://118.251.18.81:8188/udp/239.76.245.123:1234
湖南国际FHD,http://118.251.18.81:8188/udp/239.76.245.124:1234
湖南娱乐FHD,http://118.251.18.81:8188/udp/239.76.245.121:1234
金鹰卡通FHD,http://118.251.18.81:8188/udp/239.76.245.120:1234
金鹰纪实FHD,http://118.251.18.81:8188/udp/239.76.245.122:1234
快乐垂钓FHD,http://118.251.18.81:8188/udp/239.76.245.127:1234
CCTV-1综合,http://118.251.18.81:8188/udp/239.76.246.151:1234
CCTV-2财经,http://118.251.18.81:8188/udp/239.76.246.152:1234
CCTV-3综艺,http://118.251.18.81:8188/udp/239.76.246.153:1234
CCTV-4中文国际,http://118.251.18.81:8188/udp/239.76.246.154:1234
CCTV-4中文国际,http://118.251.18.81:8188/udp/239.76.245.195:1234
CCTV-5体育,http://118.251.18.81:8188/udp/239.76.246.155:1234
CCTV-5+体育赛事,http://118.251.18.81:8188/udp/239.76.246.168:1234
CCTV-6电影,http://118.251.18.81:8188/udp/239.76.246.156:1234
CCTV-7国防军事,http://118.251.18.81:8188/udp/239.76.246.157:1234
CCTV-8电视剧,http://118.251.18.81:8188/udp/239.76.246.158:1234
CCTV-9纪录,http://118.251.18.81:8188/udp/239.76.246.159:1234
CCTV-10科教,http://118.251.18.81:8188/udp/239.76.246.160:1234
CCTV-11戏曲,http://118.251.18.81:8188/udp/239.76.245.251:1234
CCTV-12社会与法,http://118.251.18.81:8188/udp/239.76.246.162:1234
CCTV-13新闻,http://118.251.18.81:8188/udp/239.76.246.93:1234
CCTV-14少儿,http://118.251.18.81:8188/udp/239.76.246.164:1234
CCTV-15音乐,http://118.251.18.81:8188/udp/239.76.245.252:1234
CCTV-16奥林匹克,http://118.251.18.81:8188/udp/239.76.246.98:1234
CCTV-17农业农村,http://118.251.18.81:8188/udp/239.76.245.238:1234
CHC动作电影,http://118.251.18.81:8188/udp/239.76.245.243:1234
CHC家庭影院,http://118.251.18.81:8188/udp/239.76.245.241:1234
CHC影迷电影,http://118.251.18.81:8188/udp/239.76.245.242:1234
CCTV-16奥林匹克4K,http://118.251.18.81:8188/udp/239.76.246.230:1234
试播4K超高清,http://118.251.18.81:8188/udp/239.76.246.214:1234
CCTV-4中文国际 欧洲,http://118.251.18.81:8188/udp/239.76.246.95:1234
CCTV-4中文国际 美洲,http://118.251.18.81:8188/udp/239.76.246.96:1234
凤凰中文,http://118.251.18.81:8188/udp/239.76.246.134:1234
凤凰资讯,http://118.251.18.81:8188/udp/239.76.246.135:1234
三沙卫视,http://118.251.18.81:8188/udp/239.76.246.74:1234
东方卫视,http://118.251.18.81:8188/udp/239.76.246.186:1234
北京卫视,http://118.251.18.81:8188/udp/239.76.246.184:1234
吉林卫视,http://118.251.18.81:8188/udp/239.76.246.201:1234
四川卫视,http://118.251.18.81:8188/udp/239.76.246.91:1234
天津卫视,http://118.251.18.81:8188/udp/239.76.246.185:1234
山东卫视,http://118.251.18.81:8188/udp/239.76.246.195:1234
江苏卫视,http://118.251.18.81:8188/udp/239.76.246.181:1234
河南卫视,http://118.251.18.81:8188/udp/239.76.246.202:1234
浙江卫视,http://118.251.18.81:8188/udp/239.76.246.182:1234
海南卫视,http://118.251.18.81:8188/udp/239.76.246.203:1234
深圳卫视,http://118.251.18.81:8188/udp/239.76.246.188:1234
湖北卫视,http://118.251.18.81:8188/udp/239.76.246.193:1234
甘肃卫视,http://118.251.18.81:8188/udp/239.76.246.94:1234
重庆卫视,http://118.251.18.81:8188/udp/239.76.246.92:1234
黑龙江卫视,http://118.251.18.81:8188/udp/239.76.246.200:1234
东南卫视,http://118.251.18.81:8188/udp/239.76.245.190:1234
安徽卫视,http://118.251.18.81:8188/udp/239.76.245.196:1234
广东卫视,http://118.251.18.81:8188/udp/239.76.245.189:1234
江西卫视,http://118.251.18.81:8188/udp/239.76.245.225:1234
河北卫视,http://118.251.18.81:8188/udp/239.76.245.199:1234
贵州卫视,http://118.251.18.81:8188/udp/239.76.245.198:1234
辽宁卫视,http://118.251.18.81:8188/udp/239.76.245.197:1234
CETV-1,http://118.251.18.81:8188/udp/239.76.245.192:1234
CETV-4,http://118.251.18.81:8188/udp/239.76.245.254:1234
CGTN英语,http://118.251.18.81:8188/udp/239.76.245.66:1234
CGTN纪录,http://118.251.18.81:8188/udp/239.76.245.67:1234
CGTN俄语,http://118.251.18.81:8188/udp/239.76.246.86:1234
CGTN法语,http://118.251.18.81:8188/udp/239.76.246.87:1234
CGTN西班牙语,http://118.251.18.81:8188/udp/239.76.246.88:1234
CGTN阿拉伯语,http://118.251.18.81:8188/udp/239.76.246.97:1234
河南文物宝库,http://118.251.18.81:8188/udp/239.76.245.180:1234
河南梨园频道,http://118.251.18.81:8188/udp/239.76.245.179:1234
河南武术世界,http://118.251.18.81:8188/udp/239.76.245.181:1234
中国天气,http://118.251.18.81:8188/udp/239.76.246.61:1234
桂东融媒,http://118.251.18.81:8188/udp/239.76.246.231:1234
长沙新闻频道,http://118.251.18.81:8188/udp/239.76.246.121:1234
长沙政法频道,http://118.251.18.81:8188/udp/239.76.246.122:1234
益阳新闻综合,http://118.251.18.81:8188/udp/239.76.248.15:1234
益阳公共频道,http://118.251.18.81:8188/udp/239.76.248.16:1234
岳阳新闻综合,http://118.251.18.81:8188/udp/239.76.248.7:1234
岳阳文旅都市,http://118.251.18.81:8188/udp/239.76.248.8:1234
张家界新闻综合,http://118.251.18.81:8188/udp/239.76.245.234:1234
张家界公共频道,http://118.251.18.81:8188/udp/239.76.245.235:1234
湘西新闻综合,http://118.251.18.81:8188/udp/239.76.245.208:1234
湘西文化旅游,http://118.251.18.81:8188/udp/239.76.245.209:1234
株洲新闻综合,http://118.251.18.81:8188/udp/239.76.248.1:1234
永州新闻综合,http://118.251.18.81:8188/udp/239.76.248.23:1234
永州经济生活,http://118.251.18.81:8188/udp/239.76.248.24:1234
湘潭新闻综合,http://118.251.18.81:8188/udp/239.76.248.4:1234
湘潭县电视台,http://118.251.18.81:8188/udp/239.76.248.41:1234
衡阳新闻综合,http://118.251.18.81:8188/udp/239.76.248.13:1234
衡阳文旅法治,http://118.251.18.81:8188/udp/239.76.248.14:1234
衡阳县电视台,http://118.251.18.81:8188/udp/239.76.248.26:1234
邵阳新闻综合,http://118.251.18.81:8188/udp/239.76.248.21:1234
邵阳文旅民生,http://118.251.18.81:8188/udp/239.76.248.22:1234
郴州综合频道,http://118.251.18.81:8188/udp/239.76.246.75:1234
郴州公共频道,http://118.251.18.81:8188/udp/239.76.248.39:1234
怀化新闻综合,http://118.251.18.81:8188/udp/239.76.248.12:1234
常德新闻综合,http://118.251.18.81:8188/udp/239.76.248.10:1234
常德公共频道,http://118.251.18.81:8188/udp/239.76.248.11:1234
娄底综合频道,http://118.251.18.81:8188/udp/239.76.248.18:1234
娄底公共频道,http://118.251.18.81:8188/udp/239.76.248.19:1234
娄底教育频道,http://118.251.18.81:8188/udp/239.76.248.20:1234
东安新闻综合,http://118.251.18.81:8188/udp/239.76.248.32:1234
桃源综合频道,http://118.251.18.81:8188/udp/239.76.248.36:1234
长沙文旅频道,http://118.251.18.81:8188/udp/239.76.248.42:1234
双牌新闻综合,http://118.251.18.81:8188/udp/239.76.248.33:1234
宁远综合频道,http://118.251.18.81:8188/udp/239.76.248.34:1234
麻阳综合频道,http://118.251.18.81:8188/udp/239.76.248.45:1234
新化电视台,http://118.251.18.81:8188/udp/239.76.248.31:1234
津市电视台,http://118.251.18.81:8188/udp/239.76.248.30:1234
武冈综合频道,http://118.251.18.81:8188/udp/239.76.248.29:1234
江永新闻频道,http://118.251.18.81:8188/udp/239.76.248.35:1234
洪江新闻频道,http://118.251.18.81:8188/udp/239.76.248.37:1234
溆浦综合频道,http://118.251.18.81:8188/udp/239.76.248.25:1234
蓝山综合频道,http://118.251.18.81:8188/udp/239.76.248.38:1234
新田综合频道,http://118.251.18.81:8188/udp/239.76.248.44:1234
道县综合频道,http://118.251.18.81:8188/udp/239.76.248.28:1234
宁乡综合频道,http://118.251.18.81:8188/udp/239.76.248.57:1234
未知新闻综合,http://118.251.18.81:8188/udp/239.76.248.27:1234
中方台,http://118.251.18.81:8188/udp/239.76.248.43:1234
湖南电信-组播2,#genre#
九画面,http://118.248.156.138:8889/udp/239.76.245.131:1234
九画面,http://118.248.156.138:8889/udp/239.76.252.131:9000
湖南卫视,http://118.248.156.138:8889/udp/239.76.253.101:9000
湖南卫视,http://118.248.156.138:8889/udp/239.76.251.85:9000
