央视频道,#genre#
CCTV11,http://1.80.12.4:10000/hls/11/index.m3u8
CCTV11,http://113.240.177.236:8082/hls/12/index.m3u8
CCTV11,http://120.192.226.35:8009/hls/11/index.m3u8
CCTV11,http://123.10.76.183:808/hls/11/index.m3u8
CCTV11,http://123.10.76.97:808/hls/11/index.m3u8
CCTV11,http://123.10.79.77:808/hls/11/index.m3u8
CCTV11,http://144.7.38.154:808/hls/11/index.m3u8
CCTV11,http://175.11.138.93:808/hls/11/index.m3u8
CCTV11,http://182.46.8.141:8018/hls/11/index.m3u8
CCTV11,http://222.89.28.118:808/hls/11/index.m3u8
CCTV12,http://1.80.12.4:10000/hls/12/index.m3u8
CCTV12,http://113.240.177.236:8082/hls/13/index.m3u8
CCTV12,http://120.192.226.35:8009/hls/507/index.m3u8
CCTV12,http://123.10.76.183:808/hls/12/index.m3u8
CCTV12,http://123.10.76.97:808/hls/12/index.m3u8
CCTV12,http://123.10.79.77:808/hls/12/index.m3u8
CCTV12,http://144.7.38.154:808/hls/12/index.m3u8
CCTV12,http://175.11.138.93:808/hls/12/index.m3u8
CCTV12,http://182.46.8.141:8018/hls/12/index.m3u8
CCTV12,http://222.89.28.118:808/hls/12/index.m3u8
CCTV13,http://1.80.12.4:10000/hls/13/index.m3u8
CCTV13,http://113.240.177.236:8082/hls/14/index.m3u8
CCTV13,http://120.192.226.35:8009/hls/13/index.m3u8
CCTV13,http://123.10.76.183:808/hls/13/index.m3u8
CCTV13,http://123.10.76.97:808/hls/13/index.m3u8
CCTV13,http://123.10.79.77:808/hls/13/index.m3u8
CCTV13,http://144.7.38.154:808/hls/13/index.m3u8
CCTV13,http://175.11.138.93:808/hls/13/index.m3u8
CCTV13,http://182.46.8.141:8018/hls/13/index.m3u8
CCTV13,http://222.89.28.118:808/hls/13/index.m3u8
CCTV14,http://1.80.12.4:10000/hls/14/index.m3u8
CCTV14,http://113.240.177.236:8082/hls/15/index.m3u8
CCTV14,http://120.192.226.35:8009/hls/14/index.m3u8
CCTV14,http://123.10.76.183:808/hls/14/index.m3u8
CCTV14,http://123.10.76.97:808/hls/14/index.m3u8
CCTV14,http://123.10.79.77:808/hls/14/index.m3u8
CCTV14,http://144.7.38.154:808/hls/14/index.m3u8
CCTV14,http://182.46.8.141:8018/hls/14/index.m3u8
CCTV14,http://222.89.28.118:808/hls/14/index.m3u8
CCTV15,http://1.80.12.4:10000/hls/15/index.m3u8
CCTV15,http://113.240.177.236:8082/hls/16/index.m3u8
CCTV15,http://120.192.226.35:8009/hls/15/index.m3u8
CCTV15,http://123.10.76.183:808/hls/15/index.m3u8
CCTV15,http://123.10.76.97:808/hls/15/index.m3u8
CCTV15,http://123.10.79.77:808/hls/15/index.m3u8
CCTV15,http://144.7.38.154:808/hls/15/index.m3u8
CCTV15,http://175.11.138.93:808/hls/15/index.m3u8
CCTV15,http://182.46.8.141:8018/hls/15/index.m3u8
CCTV15,http://222.89.28.118:808/hls/15/index.m3u8
CCTV16,http://144.7.38.154:808/hls/666/index.m3u8
CCTV16,http://222.89.28.118:808/hls/160/index.m3u8
CCTV17,http://144.7.38.154:808/hls/93/index.m3u8
CCTV17,http://175.11.138.93:808/hls/16/index.m3u8
CCTV17,http://222.89.28.118:808/hls/17/index.m3u8
CCTVNEWS,http://120.192.226.35:8009/hls/16/index.m3u8
卫视频道,#genre#
上海卫视,http://1.80.12.4:10000/hls/20/index.m3u8
东南卫视,http://1.80.12.4:10000/hls/28/index.m3u8
东南卫视,http://113.240.177.236:8082/hls/30/index.m3u8
东南卫视,http://120.192.226.35:8009/hls/45/index.m3u8
东南卫视,http://123.10.76.183:808/hls/49/index.m3u8
东南卫视,http://123.10.76.97:808/hls/49/index.m3u8
东南卫视,http://123.10.79.77:808/hls/49/index.m3u8
东南卫视,http://144.7.38.154:808/hls/44/index.m3u8
东南卫视,http://175.11.138.93:808/hls/30/index.m3u8
东南卫视,http://182.46.8.141:8018/hls/55/index.m3u8
东南卫视,http://222.89.28.118:808/hls/83/index.m3u8
东方卫视,http://113.240.177.236:8082/hls/25/index.m3u8
东方卫视,http://120.192.226.35:8009/hls/31/index.m3u8
东方卫视,http://123.10.76.183:808/hls/37/index.m3u8
东方卫视,http://123.10.76.97:808/hls/37/index.m3u8
东方卫视,http://123.10.79.77:808/hls/37/index.m3u8
东方卫视,http://144.7.38.154:808/hls/42/index.m3u8
东方卫视,http://175.11.138.93:808/hls/20/index.m3u8
