湖北电信-组播1,#genre#
央视台球,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.98:10224
梨园频道,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.33:9838
中学生,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.17:11256$湖北电信
法治天地,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.10:11214
游戏风云,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.8:11202
茶频道,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.144:10500
金色学堂,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.13:11232
武术世界,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.47:9922
文物宝库,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.46:9916
快乐垂钓,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.142:10488
生活时尚,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.11:11220
中国交通,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.3:11172
乐游,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.12:11226$湖北电信
动漫秀场,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.6:11190
重庆卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.149:10530
江苏卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.144:8938
浙江卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.143:8932
东方卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.142:8926
深圳卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.137:8896
北京卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.141:8920
山东卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.69:10054
天津卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.68:10048
贵州卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.150:10536
四川卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.169:10650$湖北电信
云南卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.25:11304
广西卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.191:10788
黑龙江卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.138:8902
安徽卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.70:10060
江西卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.126:10394
湖北卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.115:8664
旅游卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.151:10542
东南卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.108:10286
吉林卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.212:10914
辽宁卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.71:10066
湖南卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.139:8908
广东卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.140:8914$湖北电信
河南卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.168:10644
河北卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.113:9616
河北卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.157:10578
宁夏卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.33:11352
甘肃卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.23:11292
青海卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.24:11298
新疆卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.30:11334
西藏卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.31:11340
兵团卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.32:11346
金鹰卡通,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.248:11130
