河南联通-组播1,#genre#
河北卫视,http://42.237.212.223:4022/rtp/225.1.4.123:1304
吉林卫视,http://42.237.212.223:4022/rtp/225.1.4.174:1309
山西卫视,http://42.237.212.223:4022/rtp/225.1.4.38:1067
陕西卫视,http://42.237.212.223:4022/rtp/225.1.4.39:1068
甘肃卫视,http://42.237.212.223:4022/rtp/225.1.4.42:1071
青海卫视,http://42.237.212.223:4022/rtp/225.1.4.44:1073
内蒙古卫视,http://42.237.212.223:4022/rtp/225.1.4.45:1074
宁夏卫视,http://42.237.212.223:4022/rtp/225.1.4.43:1072
西藏卫视,http://42.237.212.223:4022/rtp/225.1.4.46:1075
厦门卫视,http://42.237.212.223:4022/rtp/225.1.4.95:1124
新疆卫视,http://42.237.212.223:4022/rtp/225.1.4.47:1076
三沙卫视,http://42.237.212.223:4022/rtp/225.1.4.234:1280
兵团卫视,http://42.237.212.223:4022/rtp/225.1.4.97:1126
山东教育卫视,http://42.237.212.223:4022/rtp/225.1.4.164:1205
金鹰卡通,http://42.237.212.223:4022/rtp/225.1.4.49:1078
金鹰纪实,http://42.237.212.223:4022/rtp/225.1.4.172:1711
嘉佳卡通,http://42.237.212.223:4022/rtp/225.1.4.92:1121
卡酷少儿,http://42.237.212.223:4022/rtp/225.1.4.48:1077
新动漫,http://42.237.212.223:4022/rtp/225.1.4.212:1265
CETV1,http://42.237.212.223:4022/rtp/225.1.4.173:1712
CETV2,http://42.237.212.223:4022/rtp/225.1.4.165:1206
CETV4,http://42.237.212.223:4022/rtp/225.1.4.171:1710
IPTV相声小品,http://42.237.212.223:4022/rtp/225.1.4.186:1235
IPTV音乐,http://42.237.212.223:4022/rtp/225.1.4.184:1224
IPTV生活,http://42.237.212.223:4022/rtp/225.1.4.176:1225
IPTV好学生,http://42.237.212.223:4022/rtp/225.1.4.177:1226
IPTV国学,http://42.237.212.223:4022/rtp/225.1.4.178:1227
IPTV早教,http://42.237.212.223:4022/rtp/225.1.4.179:1228
IPTV军事,http://42.237.212.223:4022/rtp/225.1.4.181:1230
IPTV美妆,http://42.237.212.223:4022/rtp/225.1.4.182:1231
IPTV地理,http://42.237.212.223:4022/rtp/225.1.4.183:1232
IPTV足球,http://42.237.212.223:4022/rtp/225.1.4.200:1250
IPTV野外,http://42.237.212.223:4022/rtp/225.1.4.187:1236
IPTV法治,http://42.237.212.223:4022/rtp/225.1.4.188:1237
IPTV综艺,http://42.237.212.223:4022/rtp/225.1.4.204:1252
IPTV体育,http://42.237.212.223:4022/rtp/225.1.4.168:1220
IPTV收视指南,http://42.237.212.223:4022/rtp/225.1.4.50:1079
华数经典电影,http://42.237.212.223:4022/rtp/225.1.4.175:1233
华数精选,http://42.237.212.223:4022/rtp/225.1.4.253:1299
华数谍战剧场,http://42.237.212.223:4022/rtp/225.1.4.185:1240
华数少儿动画,http://42.237.212.223:4022/rtp/225.1.4.189:1238
华数热播剧场,http://42.237.212.223:4022/rtp/225.1.4.190:1239
华数魅力时尚,http://42.237.212.223:4022/rtp/225.1.4.205:1253
华数爱电影,http://42.237.212.223:4022/rtp/225.1.4.6:1035
爱大剧,http://42.237.212.223:4022/rtp/225.1.4.8:1037
CCTV-4欧洲,http://42.237.212.223:4022/rtp/225.1.5.31:1342
CCTV-4美洲,http://42.237.212.223:4022/rtp/225.1.5.32:1343
CGTN英语,http://42.237.212.223:4022/rtp/225.1.5.34:1344
CGTN纪录,http://42.237.212.223:4022/rtp/225.1.5.35:1345
CGTN西班牙语,http://42.237.212.223:4022/rtp/225.1.5.36:1346
CGTN法语,http://42.237.212.223:4022/rtp/225.1.5.37:1347
CGTN阿拉伯语,http://42.237.212.223:4022/rtp/225.1.5.38:1348
CGTN俄语,http://42.237.212.223:4022/rtp/225.1.5.39:1349
爱上-4K,http://42.237.212.223:4022/rtp/225.1.4.162:1204
河南卫视,http://42.237.212.223:4022/rtp/225.1.4.254:1300
国学频道,http://42.237.212.223:4022/rtp/225.1.4.196:1311
