福建电信-组播1,#genre#
山西卫视,http://27.154.99.52:3386/rtp/239.61.2.224:9332
甘肃卫视,http://27.154.99.52:3386/rtp/239.61.2.225:9338
内蒙古卫视,http://27.154.99.52:3386/rtp/239.61.2.226:9344
新疆卫视,http://27.154.99.52:3386/rtp/239.61.2.227:9350
兵团卫视,http://27.154.99.52:3386/rtp/239.61.2.228:9356
西藏卫视,http://27.154.99.52:3386/rtp/239.61.2.229:9362
CHC动作电影,http://27.154.99.52:3386/rtp/239.61.3.16:9616
CETV1,http://27.154.99.52:3386/rtp/239.61.2.167:8990
CETV2,http://27.154.99.52:3386/rtp/239.61.3.6:9554
CETV4,http://27.154.99.52:3386/rtp/239.61.3.15:9608
CGTN英语,http://27.154.99.52:3386/rtp/239.61.2.19:8108
CGTN纪录,http://27.154.99.52:3386/rtp/239.61.3.43:9776
CGTN法语,http://27.154.99.52:3386/rtp/239.61.3.44:9782
CGTN俄语,http://27.154.99.52:3386/rtp/239.61.3.45:9788
金鹰纪实,http://27.154.99.52:3386/rtp/239.61.3.7:9560
茶频道,http://27.154.99.52:3386/rtp/239.61.3.59:9872
河南梨园频道,http://27.154.99.52:3386/rtp/239.61.3.19:9634
河南文物宝库,http://27.154.99.52:3386/rtp/239.61.3.21:9646
河南武术世界,http://27.154.99.52:3386/rtp/239.61.3.22:9652
中国天气,http://27.154.99.52:3386/rtp/239.61.2.64:8378
金鹰卡通,http://27.154.99.52:3386/rtp/239.61.2.221:9314
卡酷少儿,http://27.154.99.52:3386/rtp/239.61.2.222:9320
嘉佳卡通,http://27.154.99.52:3386/rtp/239.61.2.72:8426
