河北联通-组播1,#genre#
九屏直播频道,http://121.29.169.184:2083/rtp/239.253.92.203:6150
河北卫视,http://121.29.169.184:2083/rtp/239.253.92.154:6011
河北经济生活,http://121.29.169.184:2083/rtp/239.253.92.171:6001
河北都市频道,http://121.29.169.184:2083/rtp/239.253.92.172:6002
河北影视剧频道,http://121.29.169.184:2083/rtp/239.253.92.173:6003
河北少儿科教,http://121.29.169.184:2083/rtp/239.253.92.174:6004
河北文旅公共,http://121.29.169.184:2083/rtp/239.253.92.175:6005
河北三农频道,http://121.29.169.184:2083/rtp/239.253.92.176:6006
睛彩河北,http://121.29.169.184:2083/rtp/239.253.92.104:6221
CCTV-1综合,http://121.29.169.184:2083/rtp/239.253.92.83:8012
CCTV-2财经,http://121.29.169.184:2083/rtp/239.253.92.190:6065
CCTV-3综艺,http://121.29.169.184:2083/rtp/239.253.92.191:6057
CCTV-4中文国际,http://121.29.169.184:2083/rtp/239.253.92.251:6141
CCTV-5体育,http://121.29.169.184:2083/rtp/239.253.92.181:6046
CCTV-6电影,http://121.29.169.184:2083/rtp/239.253.92.193:6058
CCTV-7国防军事,http://121.29.169.184:2083/rtp/239.253.92.194:6059
CCTV-8电视剧,http://121.29.169.184:2083/rtp/239.253.92.195:6060
CCTV-9纪录,http://121.29.169.184:2083/rtp/239.253.92.107:6020
CCTV-10科教,http://121.29.169.184:2083/rtp/239.253.92.196:6061
CCTV-11戏曲,http://121.29.169.184:2083/rtp/239.253.93.153:6321
CCTV-12社会与法,http://121.29.169.184:2083/rtp/239.253.92.197:6062
CCTV-13新闻,http://121.29.169.184:2083/rtp/239.253.92.13:8008
CCTV-14少儿,http://121.29.169.184:2083/rtp/239.253.92.198:6063
CCTV-15音乐,http://121.29.169.184:2083/rtp/239.253.93.154:6322
CCTV-17农业农村,http://121.29.169.184:2083/rtp/239.253.93.150:6318
CCTV-5+体育赛事,http://121.29.169.184:2083/rtp/239.253.92.82:8013
CCTV电视指南,http://121.29.169.184:2083/rtp/239.253.93.249:6427
CCTV第一剧场,http://121.29.169.184:2083/rtp/239.253.93.138:6428
CCTV风云剧场,http://121.29.169.184:2083/rtp/239.253.93.251:6429
CCTV怀旧剧场,http://121.29.169.184:2083/rtp/239.253.93.252:6430
CCTV风云音乐,http://121.29.169.184:2083/rtp/239.253.93.253:6431
CCTV风云足球,http://121.29.169.184:2083/rtp/239.253.93.254:6432
CCTV高尔夫网球,http://121.29.169.184:2083/rtp/239.253.93.122:6465
CCTV央视文化精品,http://121.29.169.184:2083/rtp/239.253.93.175:6439
CCTV央视台球,http://121.29.169.184:2083/rtp/239.253.93.231:6409
CCTV兵器科技,http://121.29.169.184:2083/rtp/239.253.93.47:6435
CCTV世界地理,http://121.29.169.184:2083/rtp/239.253.92.131:6113
CCTV女性时尚,http://121.29.169.184:2083/rtp/239.253.92.144:6114
湖南卫视,http://121.29.169.184:2083/rtp/239.253.92.84:8015
浙江卫视,http://121.29.169.184:2083/rtp/239.253.92.90:8020
江苏卫视,http://121.29.169.184:2083/rtp/239.253.92.88:8018
北京卫视,http://121.29.169.184:2083/rtp/239.253.92.87:8014
东南卫视,http://121.29.169.184:2083/rtp/239.253.92.201:6146
东方卫视,http://121.29.169.184:2083/rtp/239.253.92.89:8019
