北京联通-组播1,#genre#
睛彩青少,http://114.241.244.75:4022/rtp/239.3.1.127:8001
睛彩广场舞,http://114.241.244.75:4022/rtp/239.3.1.128:8001
快乐垂钓,http://114.241.244.75:4022/rtp/239.3.1.164:8001
茶频道,http://114.241.244.75:4022/rtp/239.3.1.165:8001
CGTN新闻,http://114.241.244.75:4022/rtp/239.3.1.215:4220
CGTN记录,http://114.241.244.75:4022/rtp/239.3.1.216:4220
CGTN西班牙语,http://114.241.244.75:4022/rtp/239.3.1.217:4220
CGTN法语,http://114.241.244.75:4022/rtp/239.3.1.218:4220
CGTN阿拉伯语,http://114.241.244.75:4022/rtp/239.3.1.219:4220
CGTN俄语,http://114.241.244.75:4022/rtp/239.3.1.220:4220
IPTV收视指南,http://114.241.244.75:4022/rtp/239.3.1.193:8012
IPTV热播剧场,http://114.241.244.75:4022/rtp/239.3.1.194:9020
IPTV经典电影,http://114.241.244.75:4022/rtp/239.3.1.195:9024
IPTV魅力时尚,http://114.241.244.75:4022/rtp/239.3.1.196:9012
IPTV少儿动画,http://114.241.244.75:4022/rtp/239.3.1.199:9000
IPTV城市剧场,http://114.241.244.75:4022/rtp/239.3.1.67:4120
IPTV军旅剧场,http://114.241.244.75:4022/rtp/239.3.1.68:4120
IPTV古装剧场,http://114.241.244.75:4022/rtp/239.3.1.69:4120
IPTV音乐现场,http://114.241.244.75:4022/rtp/239.3.1.70:4120
IPTV地理,http://114.241.244.75:4022/rtp/239.3.1.71:4120
IPTV美妆,http://114.241.244.75:4022/rtp/239.3.1.72:4120
IPTV读书,http://114.241.244.75:4022/rtp/239.3.1.73:4120
IPTV精选,http://114.241.244.75:4022/rtp/239.3.1.74:4120
IPTV解密,http://114.241.244.75:4022/rtp/239.3.1.75:4120
IPTV军事,http://114.241.244.75:4022/rtp/239.3.1.76:4120
IPTV国学,http://114.241.244.75:4022/rtp/239.3.1.77:4120
IPTV戏曲,http://114.241.244.75:4022/rtp/239.3.1.78:4120
IPTV早教,http://114.241.244.75:4022/rtp/239.3.1.79:4120
IPTV动画,http://114.241.244.75:4022/rtp/239.3.1.80:4120
IPTV好学生,http://114.241.244.75:4022/rtp/239.3.1.81:4120
IPTV鉴赏,http://114.241.244.75:4022/rtp/239.3.1.82:4120
IPTV墨宝,http://114.241.244.75:4022/rtp/239.3.1.83:4120
IPTV光影,http://114.241.244.75:4022/rtp/239.3.1.84:4120
IPTV台球,http://114.241.244.75:4022/rtp/239.3.1.85:4120
IPTV爱生活,http://114.241.244.75:4022/rtp/239.3.1.86:4120
IPTV武术,http://114.241.244.75:4022/rtp/239.3.1.87:4120
IPTV高网,http://114.241.244.75:4022/rtp/239.3.1.88:4120
IPTV足球,http://114.241.244.75:4022/rtp/239.3.1.89:4120
IPTV武侠剧场,http://114.241.244.75:4022/rtp/239.3.1.90:4120
IPTV喜剧影院,http://114.241.244.75:4022/rtp/239.3.1.91:4120
IPTV动作影院,http://114.241.244.75:4022/rtp/239.3.1.92:4120
IPTV家庭影院,http://114.241.244.75:4022/rtp/239.3.1.93:4120
IPTV星影,http://114.241.244.75:4022/rtp/239.3.1.94:4120
北京卫视,http://114.241.244.75:4022/rtp/239.3.1.225:8000
北京文艺,http://114.241.244.75:4022/rtp/239.3.1.226:8000
北京纪实科教,http://114.241.244.75:4022/rtp/239.3.1.227:8000
北京影视,http://114.241.244.75:4022/rtp/239.3.1.228:8000
北京财经,http://114.241.244.75:4022/rtp/239.3.1.229:8000
北京生活,http://114.241.244.75:4022/rtp/239.3.1.231:8000
北京卡酷少儿,http://114.241.244.75:4022/rtp/239.3.1.234:8000
北京新闻,http://114.241.244.75:4022/rtp/239.3.1.233:8000
山东教育,http://114.241.244.75:4022/rtp/239.3.1.52:4120
四川卫视,http://114.241.244.75:4022/rtp/239.3.1.29:8288
广西卫视,http://114.241.244.75:4022/rtp/239.3.1.39:8300
陕西卫视,http://114.241.244.75:4022/rtp/239.3.1.41:8140
山西卫视,http://114.241.244.75:4022/rtp/239.3.1.42:8172
内蒙古卫视,http://114.241.244.75:4022/rtp/239.3.1.43:8176
青海卫视,http://114.241.244.75:4022/rtp/239.3.1.44:8184
海南卫视,http://114.241.244.75:4022/rtp/239.3.1.45:8304
三沙卫视,http://114.241.244.75:4022/rtp/239.3.1.155:4120
云南卫视,http://114.241.244.75:4022/rtp/239.3.1.26:8108
厦门卫视,http://114.241.244.75:4022/rtp/239.3.1.143:4120
金鹰卡通,http://114.241.244.75:4022/rtp/239.3.1.51:9252
嘉佳卡通,http://114.241.244.75:4022/rtp/239.3.1.147:9268
财富天下,http://114.241.244.75:4022/rtp/239.3.1.53:9136
中国教育2台,http://114.241.244.75:4022/rtp/239.3.1.54:4120
