江苏电信,#genre#
CGTN西班牙语,http://27.17.237.199:2701/rtp/239.69.1.234:11046
CGTN法语,http://27.17.237.199:2701/rtp/239.69.1.235:11052
湖北公共新闻,http://27.17.145.247:8989/rtp/239.69.1.40:9880
湖北经视频道,http://27.17.145.247:8989/rtp/239.69.1.41:9886
湖北综合频道,http://27.17.145.247:8989/rtp/239.69.1.42:9892
湖北垄上频道,http://27.17.145.247:8989/rtp/239.69.1.43:9898
湖北影视频道,http://27.17.145.247:8989/rtp/239.69.1.204:10866
湖北生活频道,http://27.17.145.247:8989/rtp/239.69.1.205:10872
湖北教育频道,http://27.17.145.247:8989/rtp/239.69.1.206:10878
武汉新闻综合,http://27.17.145.247:8989/rtp/239.69.1.145:10506
武汉电视剧,http://27.17.145.247:8989/rtp/239.69.1.146:10512
武汉科技生活,http://27.17.145.247:8989/rtp/239.69.1.251:11148
武汉文体频道,http://27.17.145.247:8989/rtp/239.69.1.147:10518
武汉教育频道,http://27.17.145.247:8989/rtp/239.69.1.60:9994
阳新综合,http://27.17.145.247:8989/rtp/239.69.1.34:9844
房县综合,http://27.17.145.247:8989/rtp/239.69.1.192:10794
蔡甸综合,http://27.17.145.247:8989/rtp/239.69.1.245:11112
CCTV-1综合,http://27.17.145.247:8989/rtp/239.254.96.96:8550
CCTV-2财经,http://27.17.145.247:8989/rtp/239.69.1.102:10250
CCTV-3综艺,http://27.17.145.247:8989/rtp/239.69.1.122:10370
CCTV-4中文国际,http://27.17.145.247:8989/rtp/239.69.1.138:10466
CCTV-5体育,http://27.17.145.247:8989/rtp/239.69.1.123:10376
CCTV-6电影,http://27.17.145.247:8989/rtp/239.69.1.124:10382
CCTV-7国防军事,http://27.17.145.247:8989/rtp/239.69.1.103:10256
CCTV-8电视剧,http://27.17.145.247:8989/rtp/239.69.1.125:10388
CCTV-9纪录,http://27.17.145.247:8989/rtp/239.69.1.104:10262
CCTV-10科教,http://27.17.145.247:8989/rtp/239.69.1.105:10268
