山西联通-组播1,#genre#
上海生活时尚,http://171.119.206.205:6000/rtp/226.0.2.84:8584
上海金色学堂,http://171.119.206.205:6000/rtp/226.0.2.182:9368
河南文物宝库,http://171.119.206.205:6000/rtp/226.0.2.110:8792
河南梨园频道,http://171.119.206.205:6000/rtp/226.0.2.115:8832
河南武术世界,http://171.119.206.205:6000/rtp/226.0.2.97:8688
CETV1,http://171.119.206.205:6000/rtp/226.0.2.181:9360
CETV早期教育,http://171.119.206.205:6000/rtp/226.0.2.99:8704
中国天气,http://171.119.206.205:6000/rtp/226.0.2.103:8736
清徐,http://171.119.206.205:6000/rtp/226.0.2.191:9440
朔州-1,http://171.119.206.205:6000/rtp/226.0.2.185:9392
朔州-2,http://171.119.206.205:6000/rtp/226.0.2.186:9400
孝义电视台,http://171.119.206.205:6000/rtp/226.0.2.189:9424
古交电视台,http://171.119.206.205:6000/rtp/226.0.2.192:9448
阳曲,http://171.119.206.205:6000/rtp/226.0.2.196:9480
九屏测试,http://171.119.206.205:6000/rtp/226.0.2.197:9488
太原1,http://171.119.206.205:6000/rtp/226.0.2.201:9520
太原2,http://171.119.206.205:6000/rtp/226.0.2.202:9528
太原3,http://171.119.206.205:6000/rtp/226.0.2.203:9536
太原4,http://171.119.206.205:6000/rtp/226.0.2.204:9544
太原5,http://171.119.206.205:6000/rtp/226.0.2.205:9552
太原教育,http://171.119.206.205:6000/rtp/226.0.2.206:9560
晋能控股,http://171.119.206.205:6000/rtp/226.0.2.229:9744
大同教育,http://171.119.206.205:6000/rtp/226.0.2.232:9772
阳泉-1新闻综合,http://171.119.206.205:6000/rtp/226.0.2.233:9776
阳泉-2科教,http://171.119.206.205:6000/rtp/226.0.2.234:9784
山西联通-组播2,#genre#
山西卫视,http://61.240.39.165:8082/rtp/226.0.2.152:9128
山西黄河频道,http://61.240.39.165:8082/rtp/226.0.2.235:9792
山西经济与科技,http://61.240.39.165:8082/rtp/226.0.2.236:9800
山西影视频道,http://61.240.39.165:8082/rtp/226.0.2.237:9808
山西社会与法治,http://61.240.39.165:8082/rtp/226.0.2.238:9816
山西文体生活,http://61.240.39.165:8082/rtp/226.0.2.16:8040
CCTV-1综合,http://61.240.39.165:8082/rtp/226.0.2.153:9136
CCTV-2财经,http://61.240.39.165:8082/rtp/226.0.2.154:9144
CCTV-3综艺,http://61.240.39.165:8082/rtp/226.0.2.208:9576
CCTV-4中文国际,http://61.240.39.165:8082/rtp/226.0.2.156:9160
CCTV-5体育,http://61.240.39.165:8082/rtp/226.0.2.209:9584
CCTV-6电影,http://61.240.39.165:8082/rtp/226.0.2.210:9592
CCTV-7国防军事,http://61.240.39.165:8082/rtp/226.0.2.159:9184
CCTV-8电视剧,http://61.240.39.165:8082/rtp/226.0.2.211:9600
CCTV-9纪录,http://61.240.39.165:8082/rtp/226.0.2.161:9200
CCTV-10科教,http://61.240.39.165:8082/rtp/226.0.2.162:9208
CCTV-12社会与法,http://61.240.39.165:8082/rtp/226.0.2.164:9224
CCTV-13新闻,http://61.240.39.165:8082/rtp/226.0.2.165:9232
CCTV-14少儿,http://61.240.39.165:8082/rtp/226.0.2.166:9240
CCTV-16奥林匹克,http://61.240.39.165:8082/rtp/226.0.2.169:9264
CCTV-17农业农村,http://61.240.39.165:8082/rtp/226.0.2.170:9272
CCTV-5+体育赛事,http://61.240.39.165:8082/rtp/226.0.2.168:9256
CCTV-风云足球,http://61.240.39.165:8082/rtp/226.0.2.225:9712
CCTV-高尔夫网球,http://61.240.39.165:8082/rtp/226.0.2.217:9648
CCTV-风云剧场,http://61.240.39.165:8082/rtp/226.0.2.227:9728
CCTV-第一剧场,http://61.240.39.165:8082/rtp/226.0.2.221:9680
CCTV-怀旧剧场,http://61.240.39.165:8082/rtp/226.0.2.224:9704
