江苏电信,#genre#
山东卫视,http://117.85.60.122:49161/udp/239.49.8.7:9306
山西卫视,http://117.85.60.122:49161/udp/239.49.0.67:8528
深圳卫视,http://117.85.60.122:49161/udp/239.49.8.15:9430
重庆卫视,http://117.85.60.122:49161/udp/239.49.8.57:9830
河北卫视,http://117.85.60.122:49161/udp/239.49.8.188:6000
江西卫视,http://117.85.60.122:49161/udp/239.49.8.185:6000
辽宁卫视,http://117.85.60.122:49161/udp/239.49.8.48:8000
青海卫视,http://117.85.60.122:49161/udp/239.49.0.69:8544
海南卫视,http://117.85.60.122:49161/udp/239.49.0.57:8448
黑龙江卫视,http://117.85.60.122:49161/udp/239.49.8.14:9426
湖北卫视,http://117.85.60.122:49161/udp/239.49.8.8:9632
天津卫视,http://117.85.60.122:49161/udp/239.49.8.35:8620
CGTN,http://117.85.60.122:49161/udp/239.49.0.9:8064
CETV-1,http://117.85.60.122:49161/udp/239.49.0.70:8552
CETV-2,http://117.85.60.122:49161/udp/239.49.0.71:8560
CETV-4,http://117.85.60.122:49161/udp/239.49.0.72:8568
江苏公共,http://117.85.60.122:49161/udp/239.49.1.22:6000
江苏国际,http://117.85.60.122:49161/udp/239.49.1.23:6000
南京教科,http://117.85.60.122:49161/udp/239.49.0.183:9434
南京十八,http://117.85.60.122:49161/udp/239.49.0.26:8200
南京新闻,http://117.85.60.122:49161/udp/239.49.0.25:8192
优漫卡通,http://117.85.60.122:49161/udp/239.49.0.21:8160
湖北电信,#genre#
湖北公共新闻,http://221.232.13.14:8888/rtp/239.69.1.40:9880
湖北经视频道,http://221.232.13.14:8888/rtp/239.69.1.41:9886
湖北综合频道,http://221.232.13.14:8888/rtp/239.69.1.42:9892
湖北垄上频道,http://221.232.13.14:8888/rtp/239.69.1.43:9898
湖北影视频道,http://221.232.13.14:8888/rtp/239.69.1.204:10866
湖北生活频道,http://221.232.13.14:8888/rtp/239.69.1.205:10872
湖北教育频道,http://221.232.13.14:8888/rtp/239.69.1.206:10878
CCTV-1,http://221.232.13.14:8888/rtp/239.254.96.96:8550
CCTV-2,http://221.232.13.14:8888/rtp/239.69.1.102:10250
CCTV-3,http://221.232.13.14:8888/rtp/239.69.1.122:10370
CCTV-4,http://221.232.13.14:8888/rtp/239.69.1.138:10466
CCTV-5,http://221.232.13.14:8888/rtp/239.69.1.123:10376
CCTV-6,http://221.232.13.14:8888/rtp/239.69.1.124:10382
CCTV-7,http://221.232.13.14:8888/rtp/239.69.1.103:10256
CCTV-8,http://221.232.13.14:8888/rtp/239.69.1.125:10388
CCTV-9,http://221.232.13.14:8888/rtp/239.69.1.104:10262
CCTV-10,http://221.232.13.14:8888/rtp/239.69.1.105:10268
CCTV-11,http://221.232.13.14:8888/rtp/239.69.1.154:10560
CCTV-12,http://221.232.13.14:8888/rtp/239.69.1.106:10274
CCTV-13,http://221.232.13.14:8888/rtp/239.254.96.161:9040
CCTV-14,http://221.232.13.14:8888/rtp/239.69.1.107:10280
CCTV-15,http://221.232.13.14:8888/rtp/239.69.1.155:10566
CCTV-16,http://221.232.13.14:8888/rtp/239.69.1.247:11124
CCTV-17,http://221.232.13.14:8888/rtp/239.69.1.152:10548
CCTV-5+,http://221.232.13.14:8888/rtp/239.254.96.234:9484
CCTV 4K,http://221.232.13.14:8888/rtp/239.69.1.12:9712
CCTV-16,http://221.232.13.14:8888/rtp/239.69.1.249:11136
CHC-影迷电影,http://221.232.13.14:8888/rtp/239.69.1.241:11088
CHC-动作电影,http://221.232.13.14:8888/rtp/239.69.1.242:11094
CHC-家庭影院,http://221.232.13.14:8888/rtp/239.69.1.243:11100
湖北卫视,http://221.232.13.14:8888/rtp/239.254.96.115:8664
河北卫视,http://221.232.13.14:8888/rtp/239.254.96.113:9616
深圳卫视,http://221.232.13.14:8888/rtp/239.254.96.137:8896
湖南卫视,http://221.232.13.14:8888/rtp/239.254.96.139:8908
广东卫视,http://221.232.13.14:8888/rtp/239.254.96.140:8914
北京卫视,http://221.232.13.14:8888/rtp/239.254.96.141:8920
东方卫视,http://221.232.13.14:8888/rtp/239.254.96.142:8926
浙江卫视,http://221.232.13.14:8888/rtp/239.254.96.143:8932
江苏卫视,http://221.232.13.14:8888/rtp/239.254.96.144:8938
天津卫视,http://221.232.13.14:8888/rtp/239.69.1.68:10048
山东卫视,http://221.232.13.14:8888/rtp/239.69.1.69:10054
安徽卫视,http://221.232.13.14:8888/rtp/239.69.1.70:10060
辽宁卫视,http://221.232.13.14:8888/rtp/239.69.1.71:10066
东南卫视,http://221.232.13.14:8888/rtp/239.69.1.108:10286
江西卫视,http://221.232.13.14:8888/rtp/239.69.1.126:10394
重庆卫视,http://221.232.13.14:8888/rtp/239.69.1.149:10530
贵州卫视,http://221.232.13.14:8888/rtp/239.69.1.150:10536
海南卫视,http://221.232.13.14:8888/rtp/239.69.1.151:10542
河南卫视,http://221.232.13.14:8888/rtp/239.69.1.168:10644
四川卫视,http://221.232.13.14:8888/rtp/239.69.1.169:10650
广西卫视,http://221.232.13.14:8888/rtp/239.69.1.191:10788
吉林卫视,http://221.232.13.14:8888/rtp/239.69.1.212:10914
黑龙江卫视,http://221.232.13.14:8888/rtp/239.254.96.138:8902
金鹰卡通,http://221.232.13.14:8888/rtp/239.69.1.248:11130
卡酷少儿,http://221.232.13.14:8888/rtp/239.69.1.193:10800
金鹰纪实,http://221.232.13.14:8888/rtp/239.69.1.109:10292
CETV1,http://221.232.13.14:8888/rtp/239.69.1.110:10298
CCTV-第一剧场,http://221.232.13.14:8888/rtp/239.69.1.74:10084
CCTV-兵器科技,http://221.232.13.14:8888/rtp/239.69.1.79:10114
CCTV-风云足球,http://221.232.13.14:8888/rtp/239.69.1.81:10126
CCTV-高尔夫网球,http://221.232.13.14:8888/rtp/239.69.1.83:10138
CCTV-世界地理,http://221.232.13.14:8888/rtp/239.69.1.91:10186
CCTV-央视台球,http://221.232.13.14:8888/rtp/239.69.1.98:10224
CCTV-4 欧洲,http://221.232.13.14:8888/rtp/239.69.1.231:11028
CCTV-4 美洲,http://221.232.13.14:8888/rtp/239.69.1.232:11034
CGTN记录片,http://221.232.13.14:8888/rtp/239.69.1.233:11040
CGTN西班牙语,http://221.232.13.14:8888/rtp/239.69.1.234:11046
CGTN法语,http://221.232.13.14:8888/rtp/239.69.1.235:11052
武汉新闻综合,http://221.232.13.14:8888/rtp/239.69.1.145:10506
武汉电视剧,http://221.232.13.14:8888/rtp/239.69.1.146:10512
武汉科技生活,http://221.232.13.14:8888/rtp/239.69.1.251:11148
武汉经济,http://221.232.13.14:8888/rtp/239.69.1.35:9850
武汉文体,http://221.232.13.14:8888/rtp/239.69.1.147:10518
武汉外语,http://221.232.13.14:8888/rtp/239.69.1.36:9856
武汉教育,http://221.232.13.14:8888/rtp/239.69.1.60:9994
阳新综合,http://221.232.13.14:8888/rtp/239.69.1.34:9844
房县综合,http://221.232.13.14:8888/rtp/239.69.1.192:10794
蔡甸综合,http://221.232.13.14:8888/rtp/239.69.1.245:11112
梨园频道,http://221.232.13.14:8888/rtp/239.69.1.33:9838
武术世界,http://221.232.13.14:8888/rtp/239.69.1.47:9922
快乐垂钓,http://221.232.13.14:8888/rtp/239.69.1.142:10488
茶频道,http://221.232.13.14:8888/rtp/239.69.1.144:10500
湖北公共新闻,http://219.140.226.27:5555/rtp/239.69.1.40:9880
湖北经视频道,http://219.140.226.27:5555/rtp/239.69.1.41:9886
湖北综合频道,http://219.140.226.27:5555/rtp/239.69.1.42:9892
湖北垄上频道,http://219.140.226.27:5555/rtp/239.69.1.43:9898
湖北影视频道,http://219.140.226.27:5555/rtp/239.69.1.204:10866
湖北生活频道,http://219.140.226.27:5555/rtp/239.69.1.205:10872
湖北教育频道,http://219.140.226.27:5555/rtp/239.69.1.206:10878
CCTV-1,http://219.140.226.27:5555/rtp/239.254.96.96:8550
CCTV-2,http://219.140.226.27:5555/rtp/239.69.1.102:10250
CCTV-3,http://219.140.226.27:5555/rtp/239.69.1.122:10370
CCTV-4,http://219.140.226.27:5555/rtp/239.69.1.138:10466
CCTV-5,http://219.140.226.27:5555/rtp/239.69.1.123:10376
CCTV-6,http://219.140.226.27:5555/rtp/239.69.1.124:10382
CCTV-7,http://219.140.226.27:5555/rtp/239.69.1.103:10256
CCTV-8,http://219.140.226.27:5555/rtp/239.69.1.125:10388
CCTV-9,http://219.140.226.27:5555/rtp/239.69.1.104:10262
CCTV-10,http://219.140.226.27:5555/rtp/239.69.1.105:10268
CCTV-11,http://219.140.226.27:5555/rtp/239.69.1.154:10560
CCTV-12,http://219.140.226.27:5555/rtp/239.69.1.106:10274
CCTV-13,http://219.140.226.27:5555/rtp/239.254.96.161:9040
CCTV-14,http://219.140.226.27:5555/rtp/239.69.1.107:10280
CCTV-15,http://219.140.226.27:5555/rtp/239.69.1.155:10566
CCTV-16,http://219.140.226.27:5555/rtp/239.69.1.247:11124
CCTV-17,http://219.140.226.27:5555/rtp/239.69.1.152:10548
CCTV-5+,http://219.140.226.27:5555/rtp/239.254.96.234:9484
CCTV 4K,http://219.140.226.27:5555/rtp/239.69.1.12:9712
CCTV-16,http://219.140.226.27:5555/rtp/239.69.1.249:11136
CHC-影迷电影,http://219.140.226.27:5555/rtp/239.69.1.241:11088
CHC-动作电影,http://219.140.226.27:5555/rtp/239.69.1.242:11094
CHC-家庭影院,http://219.140.226.27:5555/rtp/239.69.1.243:11100
湖北卫视,http://219.140.226.27:5555/rtp/239.254.96.115:8664
河北卫视,http://219.140.226.27:5555/rtp/239.254.96.113:9616
深圳卫视,http://219.140.226.27:5555/rtp/239.254.96.137:8896
湖南卫视,http://219.140.226.27:5555/rtp/239.254.96.139:8908
广东卫视,http://219.140.226.27:5555/rtp/239.254.96.140:8914
北京卫视,http://219.140.226.27:5555/rtp/239.254.96.141:8920
