北京联通,#genre#
宁夏卫视,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.46:8124
山西卫视,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.42:8172
广西卫视,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.39:8300
新疆卫视,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.48:8160
河南卫视,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.27:8128
甘肃卫视,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.49:8188
西藏卫视,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.47:8164
三沙卫视,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.155:4120
陕西卫视,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.41:8140
青海卫视,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.44:8184
内蒙古卫视,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.43:8176
爱上4K[超清],http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.236:2000
4K超清[超清],http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.249:8001
淘电影,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.250:8001
每日影院,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.111:8001
星影,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.94:4120
动作影院,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.92:4120
光影,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.84:4120
喜剧影院,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.91:4120
家庭影院,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.93:4120
精选,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.74:4120
经典电影,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.195:9024
纪实人文,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.212:8060
金鹰纪实,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.58:8156
风尚生活,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.114:8001
地理,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.71:4120
淘剧场,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.95:8001
幸福剧场,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.112:8001
淘娱乐,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.100:8001
幸福娱乐,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.113:8001
淘Baby,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.238:8001
萌宠TV,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.102:8001
中国交通,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.188:8001
朝阳融媒,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.163:8001
通州融媒,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.221:8001
