湖南电信,#genre#
IPTV故事频道,http://220.168.240.238:9999/udp/239.76.246.41:1234
IPTV戏曲频道,http://220.168.240.238:9999/udp/239.76.246.40:1234
IPTV健康之路,http://220.168.240.238:9999/udp/239.76.246.42:1234
CGTN阿拉伯语,http://220.168.240.238:9999/udp/239.76.246.97:1234
长沙政法,http://220.168.240.238:9999/udp/239.76.246.122:1234
长沙新闻,http://220.168.240.238:9999/udp/239.76.246.121:1234
IPTV芒果互娱,http://220.168.240.238:9999/udp/239.76.246.126:1234
健康电视,http://220.168.240.238:9999/udp/239.76.246.127:1234
欢笑剧场4K,http://220.168.240.238:9999/udp/239.76.246.130:1234
都市剧场,http://220.168.240.238:9999/udp/239.76.246.215:1234
极速汽车,http://220.168.240.238:9999/udp/239.76.246.133:1234
动漫秀场,http://220.168.240.238:9999/udp/239.76.246.131:1234
游戏风云,http://220.168.240.238:9999/udp/239.76.246.132:1234
体育,http://220.168.240.238:9999/udp/239.76.253.136:9000
全纪实,http://220.168.240.238:9999/udp/239.76.246.137:1234
法治天地,http://220.168.240.238:9999/udp/239.76.246.138:1234
生活时尚,http://220.168.240.238:9999/udp/239.76.246.223:1234
浏阳,http://220.168.240.238:9999/udp/239.76.248.6:1234
常德综合,http://220.168.240.238:9999/udp/239.76.248.10:1234
常德公共,http://220.168.240.238:9999/udp/239.76.248.11:1234
衡阳综合,http://220.168.240.238:9999/udp/239.76.248.13:1234
衡阳公共,http://220.168.240.238:9999/udp/239.76.248.14:1234
娄底综合,http://220.168.240.238:9999/udp/239.76.248.18:1234
娄底公共,http://220.168.240.238:9999/udp/239.76.248.19:1234
LDETV,http://220.168.240.238:9999/udp/239.76.248.20:1234
XNXTV,http://220.168.240.238:9999/udp/239.76.248.21:1234
邵阳新闻,http://220.168.240.238:9999/udp/239.76.248.23:1234
永州新闻,http://220.168.240.238:9999/udp/239.76.248.57:1234
湖南卫视,http://220.168.240.238:9999/udp/239.76.253.101:9000
湖南国际,http://220.168.240.238:9999/udp/239.76.253.102:9000
湖南卫视FHD,http://220.168.240.238:9999/udp/239.76.253.100:9000
湖南经视,http://220.168.240.238:9999/udp/239.76.253.103:9000
湖南都市,http://220.168.240.238:9999/udp/239.76.253.104:9000
湖南娱乐,http://220.168.240.238:9999/udp/239.76.253.105:9000
湖南电影,http://220.168.240.238:9999/udp/239.76.253.106:9000
湖南电视剧,http://220.168.240.238:9999/udp/239.76.253.108:9000
金鹰卡通,http://220.168.240.238:9999/udp/239.76.253.107:9000
湖南公共,http://220.168.240.238:9999/udp/239.76.253.109:9000
金鹰纪实,http://220.168.240.238:9999/udp/239.76.253.110:9000
湖南卫视FHD,http://220.168.240.238:9999/udp/239.76.252.115:9000
湖南经视,http://220.168.240.238:9999/udp/239.76.252.116:9000
湖南电视剧,http://220.168.240.238:9999/udp/239.76.252.118:9000
湖南电影,http://220.168.240.238:9999/udp/239.76.252.119:9000
金鹰卡通,http://220.168.240.238:9999/udp/239.76.252.120:9000
湖南公共,http://220.168.240.238:9999/udp/239.76.252.123:9000
湖南娱乐,http://220.168.240.238:9999/udp/239.76.252.121:9000
金鹰纪实,http://220.168.240.238:9999/udp/239.76.252.122:9000
湖南国际,http://220.168.240.238:9999/udp/239.76.252.124:9000
湖南都市,http://220.168.240.238:9999/udp/239.76.252.117:9000
CCTV1,http://220.168.240.238:9999/udp/239.76.253.151:9000
CCTV2,http://220.168.240.238:9999/udp/239.76.253.152:9000
CCTV3,http://220.168.240.238:9999/udp/239.76.253.153:9000
CCTV4,http://220.168.240.238:9999/udp/239.76.253.154:9000
CCTV5,http://220.168.240.238:9999/udp/239.76.253.155:9000
CCTV5+,http://220.168.240.238:9999/udp/239.76.253.168:9000
CCTV6,http://220.168.240.238:9999/udp/239.76.253.156:9000
CCTV7,http://220.168.240.238:9999/udp/239.76.253.157:9000
CCTV8,http://220.168.240.238:9999/udp/239.76.253.158:9000
CCTV9,http://220.168.240.238:9999/udp/239.76.253.159:9000
CCTV10,http://220.168.240.238:9999/udp/239.76.253.160:9000
CCTV12,http://220.168.240.238:9999/udp/239.76.253.162:9000
CCTV13,http://220.168.240.238:9999/udp/239.76.253.93:9000
CCTV14,http://220.168.240.238:9999/udp/239.76.253.164:9000
CCTV16,http://220.168.240.238:9999/udp/239.76.253.98:9000
CCTV16 4K,http://220.168.240.238:9999/udp/239.76.253.214:9000
CCTV16 4K,http://220.168.240.238:9999/udp/239.76.254.200:9000
CCTV16 4K,http://220.168.240.238:9999/udp/239.76.253.224:9000
CCTV16-4K,http://220.168.240.238:9999/udp/239.76.253.230:9000
江苏卫视,http://220.168.240.238:9999/udp/239.76.253.181:9000
浙江卫视,http://220.168.240.238:9999/udp/239.76.253.182:9000
北京卫视,http://220.168.240.238:9999/udp/239.76.253.184:9000
天津卫视,http://220.168.240.238:9999/udp/239.76.253.185:9000
东方卫视,http://220.168.240.238:9999/udp/239.76.253.186:9000
深圳卫视,http://220.168.240.238:9999/udp/239.76.253.188:9000
湖北卫视,http://220.168.240.238:9999/udp/239.76.253.193:9000
山东卫视,http://220.168.240.238:9999/udp/239.76.253.195:9000
黑龙江卫视,http://220.168.240.238:9999/udp/239.76.253.200:9000
吉林卫视,http://220.168.240.238:9999/udp/239.76.253.201:9000
河南卫视,http://220.168.240.238:9999/udp/239.76.253.202:9000
海南卫视,http://220.168.240.238:9999/udp/239.76.253.203:9000
四川卫视,http://220.168.240.238:9999/udp/239.76.253.91:9000
重庆卫视,http://220.168.240.238:9999/udp/239.76.253.92:9000
广西卫视,http://220.168.240.238:9999/udp/239.76.254.54:9000
陕西卫视,http://220.168.240.238:9999/udp/239.76.254.76:9000
