浙江电信,#genre#
重庆卫视,http://101.68.81.44:9999/udp/233.50.200.114:5140
云南卫视,http://101.68.81.44:9999/udp/233.50.200.115:5140
四川卫视,http://101.68.81.44:9999/udp/233.50.201.139:5140
江西卫视,http://101.68.81.44:9999/udp/233.50.201.145:5140
黑龙江卫视,http://101.68.81.44:9999/udp/233.50.201.115:5140
山东卫视,http://101.68.81.44:9999/udp/233.50.201.105:5140
辽宁卫视,http://101.68.81.44:9999/udp/233.50.201.141:5140
贵州卫视,http://101.68.81.44:9999/udp/233.50.201.142:5140
河南卫视,http://101.68.81.44:9999/udp/233.50.201.144:5140
东南卫视,http://101.68.81.44:9999/udp/233.50.201.146:5140
吉林卫视,http://101.68.81.44:9999/udp/233.50.201.48:5140
广西卫视,http://101.68.81.44:9999/udp/233.50.201.49:5140
山西卫视,http://101.68.81.44:9999/udp/233.50.201.51:5140
海南卫视,http://101.68.81.44:9999/udp/233.50.201.55:5140
宁夏卫视,http://101.68.81.44:9999/udp/233.50.201.57:5140
陕西卫视,http://101.68.81.44:9999/udp/233.50.201.59:5140
青海卫视,http://101.68.81.44:9999/udp/233.50.201.65:5140
西藏卫视,http://101.68.81.44:9999/udp/233.50.201.70:5140
兵团卫视,http://101.68.81.44:9999/udp/233.50.201.72:5140
浙江钱江,http://101.68.81.44:9999/udp/233.50.201.132:5140
浙江生活,http://101.68.81.44:9999/udp/233.50.201.133:5140
浙江教育,http://101.68.81.44:9999/udp/233.50.201.134:5140
浙江民生,http://101.68.81.44:9999/udp/233.50.201.136:5140
浙江新闻,http://101.68.81.44:9999/udp/233.50.201.137:5140
浙江少儿,http://101.68.81.44:9999/udp/233.50.201.138:5140
浙江纪录,http://101.68.81.44:9999/udp/233.50.202.25:5140
都市剧场,http://101.68.81.44:9999/udp/233.50.201.190:5140
欢笑剧场,http://101.68.81.44:9999/udp/233.50.201.189:5140
动漫秀场,http://101.68.81.44:9999/udp/233.50.201.184:5140
杭州综合,http://101.68.81.44:9999/udp/233.50.201.173:5140
杭州明珠,http://101.68.81.44:9999/udp/233.50.201.174:5140
杭州生活,http://101.68.81.44:9999/udp/233.50.201.175:5140
杭州影视,http://101.68.81.44:9999/udp/233.50.201.176:5140
杭州青少,http://101.68.81.44:9999/udp/233.50.201.177:5140
杭州导视,http://101.68.81.44:9999/udp/233.50.201.182:5140
宁波综合,http://101.68.81.44:9999/udp/233.50.201.168:5140
宁波生活,http://101.68.81.44:9999/udp/233.50.201.178:5140
宁波文体,http://101.68.81.44:9999/udp/233.50.201.179:5140
宁波影视,http://101.68.81.44:9999/udp/233.50.201.180:5140
宁波少儿,http://101.68.81.44:9999/udp/233.50.201.181:5140
温州综合,http://101.68.81.44:9999/udp/233.50.201.87:5140
绍兴综合,http://101.68.81.44:9999/udp/233.50.201.156:5140
衢州综合,http://101.68.81.44:9999/udp/233.50.202.11:5140
衢州公共,http://101.68.81.44:9999/udp/233.50.202.12:5140
丽水新闻综合,http://101.68.81.44:9999/udp/233.50.201.162:5140
之江纪录,http://101.68.81.44:9999/udp/233.50.202.25:5140
温州新闻,http://101.68.81.44:9999/udp/233.50.201.87:5140
绍兴新闻,http://101.68.81.44:9999/udp/233.50.201.156:5140
衢州新闻,http://101.68.81.44:9999/udp/233.50.201.155:5140
台州新闻,http://101.68.81.44:9999/udp/233.50.201.157:5140
湖州新闻,http://101.68.81.44:9999/udp/233.50.201.158:5140
金华新闻,http://101.68.81.44:9999/udp/233.50.201.161:5140
丽水新闻,http://101.68.81.44:9999/udp/233.50.201.162:5140
嘉兴新闻,http://101.68.81.44:9999/udp/233.50.201.163:5140
桐乡新闻,http://101.68.81.44:9999/udp/233.50.201.169:5140
游戏风云,http://101.68.81.44:9999/udp/233.50.201.183:5140
生活时尚,http://101.68.81.44:9999/udp/233.50.201.187:5140
法治天地,http://101.68.81.44:9999/udp/233.50.201.191:5140
金色学堂,http://101.68.81.44:9999/udp/233.50.201.186:5140
快乐垂钓,http://101.68.81.44:9999/udp/233.50.201.109:5140
