965k  59.172.146.147:4022
954k  58.50.153.13:4022
903k  27.16.135.165:999
866k  27.19.146.219:2701
759k  221.232.107.147:8880
498k  111.178.111.77:9999
442k  27.17.246.227:8118
387k  27.18.81.252:4022
262k  119.98.133.175:8088
261k  171.42.16.114:4022
244k  219.140.135.17:8887
185k  111.170.76.46:4022
102k  27.19.6.24:8989
