2568k  27.16.211.210:8686
1652k  58.55.207.199:8001
1555k  59.174.226.140:8880
1535k  119.98.140.96:8888
1512k  27.17.145.247:8989
1381k  119.98.133.51:5555
1307k  119.98.39.85:4022
1301k  119.98.174.199:8888
1292k  27.19.57.47:8001
1200k  27.18.237.137:9100
1131k  27.17.237.199:2701
1091k  27.18.156.115:8181
899k  27.17.233.195:3520
891k  171.42.16.158:8888
