1178k  125.70.82.28:6066
989k  61.157.49.184:8688
907k  171.213.197.206:9999
825k  110.184.112.213:4022
818k  171.213.130.138:19999
721k  171.223.190.175:4022
587k  171.213.138.11:8123
534k  171.213.141.78:5555
480k  171.213.199.243:3333
426k  171.213.139.230:8088
367k  171.213.142.83:5555
245k  171.213.133.104:4022
236k  171.88.162.220:4022
228k  221.237.145.25:4000
226k  171.88.162.219:4022
