1131k  223.240.175.38:4022
1125k  223.242.147.52:4022
1094k  223.215.1.154:2000
1089k  114.98.160.93:2000
1082k  114.107.2.225:2000
1078k  114.107.3.61:2000
1075k  60.168.224.189:2000
1075k  60.168.224.153:2000
1074k  114.107.3.154:2000
1073k  60.168.226.119:2000
1045k  60.168.228.127:2000
929k  223.240.190.66:8888
878k  117.57.79.217:8888
758k  223.243.54.232:18888
