1067k  14.145.234.215:8888
1053k  116.28.97.125:8888
1035k  61.144.101.109:8090
1035k  59.42.100.111:4022
1035k  58.63.66.240:8888
1033k  14.153.161.74:8888
1020k  113.93.29.222:8088
1007k  14.21.148.86:8888
947k  113.117.105.78:8800
900k  113.102.83.24:4022
707k  119.134.111.48:8888
696k  113.65.9.61:4014
690k  119.134.111.101:8888
104k  61.145.208.59:9090
