728k  110.178.52.75:8082
681k  110.178.52.75:8083
495k  110.178.52.75:8085
196k  223.10.9.208:8085
196k  223.10.13.103:8082
195k  223.10.9.208:8082
195k  223.10.13.103:8083
194k  223.10.13.103:8085
193k  223.10.9.208:8084
188k  223.10.9.208:8083
163k  223.10.13.103:8084
107k  110.178.52.208:8085
105k  223.10.7.149:8083
