469k  110.177.146.26:888
347k  223.12.13.231:8083
242k  223.12.13.231:8084
242k  223.12.13.231:8082
188k  1.70.33.171:8082
157k  1.70.34.199:8084
152k  223.10.26.122:8084
118k  223.10.26.122:8082
111k  223.10.26.122:8083
111k  1.70.35.244:8084
110k  113.26.67.10:8084
102k  1.70.35.14:8084
100k  113.26.67.10:8082
